"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C25","C_0402_1005Metric","0.303mm","-15.0554mm","0.303mm","-15.0554mm","0.788mm","-15.0554mm","B","180","1uF",
"C3","C_0402_1005Metric","0.811mm","-29.0254mm","0.811mm","-29.0254mm","0.811mm","-29.5104mm","B","90","10uF",
"C34","C_0402_1005Metric","-5.334mm","-17.9324mm","-5.334mm","-17.9324mm","-4.849mm","-17.9324mm","B","180","1uF",
"C5","C_0402_1005Metric","-9.017mm","-8.0264mm","-9.017mm","-8.0264mm","-9.017mm","-7.5414mm","B","270","10uF",
"C9","C_0402_1005Metric","-3.937mm","-22.1774mm","-3.937mm","-22.1774mm","-3.937mm","-22.6624mm","B","90","0.1uF",
"R16","R_0402_1005Metric","-8.89mm","-15.0114mm","-8.89mm","-15.0114mm","-8.405mm","-15.0114mm","B","180","0R",
"R17","R_0402_1005Metric","-6.35mm","-15.0114mm","-6.35mm","-15.0114mm","-5.865mm","-15.0114mm","B","180","0R",
"R4","R_0402_1005Metric","-5.461mm","-22.1774mm","-5.461mm","-22.1774mm","-5.461mm","-21.6924mm","B","270","10K",
"R8","R_0402_1005Metric","-7.493mm","-7.5184mm","-7.493mm","-7.5184mm","-7.978mm","-7.5184mm","B","0","2K",
"R9","R_0402_1005Metric","-6.985mm","-9.0424mm","-6.985mm","-9.0424mm","-6.985mm","-9.5274mm","B","90","2K",
"U1","WSON-8_8x6mm","-11.43mm","-22.1234mm","-11.43mm","-22.1234mm","-7.33mm","-20.2184mm","B","180","W25Q128JVS",
"U4","SOT-23","-2.413mm","-18.4404mm","-2.413mm","-18.4404mm","-1.463mm","-19.4404mm","B","90","XC6206PxxxMR",
"Through Hole Items ",
"SW1","Key_Push_3.5x5x1.5_Side_4P","-14.859mm","-28.3464mm","-14.859mm","-28.3464mm","-16.859mm","-29.1464mm","T","180","FEL",
"SW2","Key_Push_2x4x3.5_Side_4P","-16.588mm","-27.2474mm","-16.588mm","-27.2474mm","-15.318mm","-28.9474mm","T","90","FEL",
"U2","QFN-20_EP_3x3_Pitch0.4mm_ThermalVias","-1.27mm","-24.1554mm","-1.27mm","-24.1554mm","0.23mm","-24.9554mm","T","180","EA3036",
"U3","QFN-88_EP_10x10_Pitch0.4mm_Handsoldering","-8.382mm","-11.4554mm","-8.382mm","-11.4554mm","-3.282mm","-15.6554mm","T","180","F1C200s",
